Date,Event,Title,Buyrate
10/6/2018,UFC 229,Khabib vs. McGregor,2400000
7/10/2021,UFC 264,Poirier vs. McGregor 3,1800000
8/20/2016,UFC 202,Diaz vs. McGregor 2,1650000
1/23/2021,UFC 257,Poirier vs. McGregor 2,1500000
1/18/2020,UFC 246,McGregor vs. Cerrone,1350000
