Date,Event,Title,Gate
4/30/2011,UFC 129,St-Pierre vs. Shields,"$12,075,000 "
11/4/2017,UFC 217,Bisping vs. St-Pierre,"$6,200,000 "
11/16/2013,UFC 167,St-Pierre vs. Hendricks,"$5,800,000 "
7/11/2009,UFC 100,UFC 100,"$5,101,740 "
4/19/2008,UFC 83,Serra vs. St-Pierre 2,"$5,100,000 "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
