Date,Event,Title,City,Gate,Buyrate,COVID
11/12/2022,UFC 281,Adesanya vs. Pereira,"New York City, New York"," $11,500,000 ",NULL,0
4/8/2023,UFC 287,Pereira vs. Adesanya 2,"Miami, Florida"," $12,000,000 ",NULL,0
11/11/2023,UFC 295,Proch�zka vs. Pereira,"New York City, New York"," $12,400,000 ",NULL,0
4/13/2024,UFC 300,Pereira vs. Hill,"Las Vegas, Nevada"," $16,500,000 ",NULL,0
6/29/2024,UFC 303,Pereira vs. Proch�zka 2,"Las Vegas, Nevada"," $15,910,000 ",NULL,0
10/5/2024,UFC 307,Pereira vs. Rountree Jr.,"Salt Lake City, Utah"," $5,000,000 ",NULL,0
3/8/2025,UFC 313,Pereira vs. Ankalaev,"Las Vegas, Nevada"," $10,100,000 ",NULL,0
