Date,Event,Title,City,Gate,Buyrate,COVID
11/15/2008,UFC 91,Couture vs. Lesnar,"Las Vegas, Nevada","$4,815,675 ",1010000,0
2009-07-11,UFC 100,UFC 100,"Las Vegas, Nevada"," $5,101,740 ",1600000,0
7/3/2010,UFC 116,Lesnar vs. Carwin,"Las Vegas, Nevada","$4,000,000 ",1160000,0
10/23/2010,UFC 121,Lesnar vs. Velasquez,"Anaheim, California","$2,237,000 ",1050000,0
12/30/2011,UFC 141,Lesnar vs. Overeem,"Las Vegas, Nevada","$3,100,000 ",750000,0
2016-07-09,UFC 200,Tate vs. Nunes,"Las Vegas, Nevada"," $10,700,000 ",1009000,0
